light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms,source_csv,acquisition_index
0,off,direct,direct,forward,Release,1,17,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.041568,0.000000,0,0,0.000000,0.000000,0.000000,2.068672,3.641209,0.978737,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,18,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.041024,0.000000,0,0,0.000000,0.000000,0.000000,1.434048,4.537840,2.152450,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,19,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.042240,0.000000,0,0,0.000000,0.000000,0.000000,1.274304,2.638457,0.922069,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,20,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.040960,0.000000,0,0,0.000000,0.000000,0.000000,1.471552,3.142668,0.992483,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,21,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.042432,0.000000,0,0,0.000000,0.000000,0.000000,1.627168,3.045024,0.965161,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,22,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.041920,0.000000,0,0,0.000000,0.000000,0.000000,1.438144,3.572048,0.978666,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,23,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.042208,0.000000,0,0,0.000000,0.000000,0.000000,2.024320,3.594230,0.973447,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,24,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.040960,0.000000,0,0,0.000000,0.000000,0.000000,1.433632,3.289855,1.009645,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,25,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.042208,0.000000,0,0,0.000000,0.000000,0.000000,1.626784,3.177443,0.981531,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,26,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.041888,0.000000,0,0,0.000000,0.000000,0.000000,1.433632,4.219650,1.431901,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,27,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.041664,0.000000,0,0,0.000000,0.000000,0.000000,1.269696,3.060914,0.973286,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,28,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.042400,0.000000,0,0,0.000000,0.000000,0.000000,1.438688,3.712683,1.044209,shadows-off_direct_lights-000_run-1.csv,0
0,off,direct,direct,forward,Release,1,29,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,0,0,0,0,0,0,0,10,59570256,0.040960,0.000000,0,0,0.000000,0.000000,0.000000,1.621344,3.370899,1.151923,shadows-off_direct_lights-000_run-1.csv,0
32,off,direct,direct,forward,Release,1,0,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532640,0.000000,0,0,0.000000,0.000000,0.000000,1.974656,3.535509,0.947778,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,1,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534432,0.000000,0,0,0.000000,0.000000,0.000000,2.368352,3.931506,1.073695,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,2,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.535552,0.000000,0,0,0.000000,0.000000,0.000000,1.893280,3.515241,1.008903,shadows-off_direct_lights-032_run-1.csv,1
