light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms,source_csv
32,dense,off,direct,direct,forward,forward,Release,1,12,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.738784,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.738784,0,0,0,0,1.972448,3.213192,0.849472,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,13,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.740032,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.740032,0,0,0,0,2.548960,3.879869,0.749705,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,14,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.740320,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.740320,0,0,0,0,1.972448,3.251223,0.878607,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,15,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.742848,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.742848,0,0,0,0,2.575744,3.920996,0.815498,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,16,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.738368,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.738368,0,0,0,0,1.967968,3.259518,0.842379,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,17,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.740448,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.740448,0,0,0,0,2.399616,4.117607,0.757348,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,18,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.742016,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.742016,0,0,0,0,1.971488,3.305636,0.846386,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,19,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.741696,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.741696,0,0,0,0,2.383040,4.430497,1.410200,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,20,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.737728,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.737728,0,0,0,0,3.077344,5.141338,1.254877,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,21,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.742976,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.742976,0,0,0,0,1.976192,3.649975,1.070860,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,22,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.737792,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.737792,0,0,0,0,2.154752,4.033077,1.057976,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,23,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.742048,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.742048,0,0,0,0,2.694208,4.510197,1.113029,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,24,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.740480,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.740480,0,0,0,0,2.629696,4.412624,1.176469,dense-032-forward-1.csv
