light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms
4,off,gpu-frustum,gpu-frustum,forward,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088512,0.000000,0,0,0.000000,0.000000,0.000000,1.331200,2.876667,0.949271
4,off,gpu-frustum,gpu-frustum,forward,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088352,0.000000,0,0,0.000000,0.000000,0.000000,1.906528,3.174649,0.916649
4,off,gpu-frustum,gpu-frustum,forward,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088896,0.000000,0,0,0.000000,0.000000,0.000000,1.452512,2.882427,0.936877
4,off,gpu-frustum,gpu-frustum,forward,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088032,0.000000,0,0,0.000000,0.000000,0.000000,1.871584,3.295987,0.945854
4,off,gpu-frustum,gpu-frustum,forward,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088800,0.000000,0,0,0.000000,0.000000,0.000000,1.455648,3.435640,0.963959
4,off,gpu-frustum,gpu-frustum,forward,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088512,0.000000,0,0,0.000000,0.000000,0.000000,1.605344,3.190008,1.075128
4,off,gpu-frustum,gpu-frustum,forward,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.087616,0.000000,0,0,0.000000,0.000000,0.000000,2.075808,3.808003,0.933150
4,off,gpu-frustum,gpu-frustum,forward,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088128,0.000000,0,0,0.000000,0.000000,0.000000,1.607136,3.103575,1.051123
4,off,gpu-frustum,gpu-frustum,forward,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088704,0.000000,0,0,0.000000,0.000000,0.000000,1.905952,3.325303,0.903464
4,off,gpu-frustum,gpu-frustum,forward,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,4,0,0,0,0,0,0,1,59549248,0.088512,0.000000,0,0,0.000000,0.000000,0.000000,1.348064,2.927822,1.122898
