light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569600,0.005696,0,0,0.000000,0.018432,0.018432,2.526208,4.320690,0.960632
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.570336,0.005728,0,0,0.000000,0.018432,0.018432,2.307776,3.808625,0.935916
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.570272,0.005088,0,0,0.000000,0.018496,0.018496,2.087584,3.520240,0.913313
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.572640,0.005984,0,0,0.000000,0.018176,0.018176,1.980256,3.368223,0.913132
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.571584,0.005216,0,0,0.000000,0.017344,0.017344,2.171488,3.954660,1.067293
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.570944,0.005856,0,0,0.000000,0.018432,0.018432,2.301664,3.707895,0.869140
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.567456,0.005440,0,0,0.000000,0.018528,0.018528,1.977600,3.630818,0.974678
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569824,0.005792,0,0,0.000000,0.018432,0.018432,2.245344,3.658280,0.917240
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569536,0.005920,0,0,0.000000,0.017504,0.017504,1.984864,3.406636,0.932930
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.573984,0.005920,0,0,0.000000,0.017440,0.017440,2.704544,4.246170,0.985178
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,10,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.574016,0.005952,0,0,0.000000,0.018432,0.018432,2.136768,3.639044,0.973326
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,11,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.567840,0.005088,0,0,0.000000,0.018208,0.018208,2.532448,4.190324,1.054228
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,12,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.568224,0.006208,0,0,0.000000,0.018432,0.018432,2.314592,3.885650,1.018922
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,13,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.572032,0.005664,0,0,0.000000,0.019296,0.019296,2.089440,3.868707,1.199091
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,14,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.573312,0.005408,0,0,0.000000,0.017984,0.017984,2.164640,3.751026,1.007340
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,15,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.567968,0.005696,0,0,0.000000,0.018432,0.018432,2.178720,3.719997,0.966663
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,16,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569408,0.005760,0,0,0.000000,0.017536,0.017536,2.594368,4.147383,1.034361
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,17,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.572608,0.004896,0,0,0.000000,0.018688,0.018688,2.220032,3.876843,0.998153
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,18,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.567968,0.005440,0,0,0.000000,0.018432,0.018432,2.525056,4.419597,1.064939
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,19,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.571296,0.005568,0,0,0.000000,0.018176,0.018176,2.216480,3.981530,1.073755
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,20,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.570656,0.005952,0,0,0.000000,0.018336,0.018336,2.182176,4.132705,1.092020
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,21,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569120,0.005952,0,0,0.000000,0.018432,0.018432,2.413408,4.128047,1.077182
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,22,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.570112,0.005728,0,0,0.000000,0.018912,0.018912,1.981248,3.530029,1.067083
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,23,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569664,0.005856,0,0,0.000000,0.018432,0.018432,2.244800,4.030553,1.151633
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,24,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.573728,0.005184,0,0,0.000000,0.018432,0.018432,1.991456,3.543745,1.033750
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,25,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.570240,0.005792,0,0,0.000000,0.018432,0.018432,2.698944,4.329096,1.050912
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,26,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569024,0.005184,0,0,0.000000,0.017952,0.017952,2.364384,3.986339,1.099854
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,27,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.569280,0.006144,0,0,0.000000,0.018432,0.018432,2.166944,3.821318,1.023200
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,28,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.574336,0.005344,0,0,0.000000,0.018208,0.018208,2.308288,3.891641,1.003934
32,on,gpu-occlusion,gpu-occlusion,forward,Release,3,29,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","029ccb181a7a6352856df564cc98815a34397388",1920,1080,0,0,32,0,192,12,180,180,12,37,104321216,0.567392,0.005952,0,0,0.000000,0.018432,0.018432,1.983744,3.672908,1.094294
